business_requirement_ids,metric_ids,model_ids,analysis_ids,finding_ids,dax_ids,visual_ids,page
BR-001–BR-003,MET-001;MET-003;MET-005,MODEL-001;MODEL-002;MODEL-009;MODEL-012,AN-001,FIND-001,DAX-001;DAX-003;DAX-005,VIS-001–VIS-003;VIS-007,Executive Overview
BR-004,MET-003;MET-006,MODEL-001;MODEL-012,AN-002,FIND-007,DAX-003;DAX-006,VIS-009;VIS-018,Executive Overview;Customer & Geography
BR-005–BR-006,MET-006;MET-007,MODEL-001;MODEL-006;MODEL-012,AN-003,FIND-002;PYFIND-002;PYFIND-003,DAX-006;DAX-007,VIS-004;VIS-016;VIS-017,Customer & Geography
BR-007,MET-006;MET-007,MODEL-001;MODEL-006,AN-004,PYFIND-004,DAX-006;DAX-007,VIS-023,Analytical Deep Dive
BR-008,MET-006;MET-007,MODEL-001;MODEL-012,AN-005,PYFIND-005,DAX-006;DAX-007,VIS-024,Analytical Deep Dive
BR-009–BR-011,MET-003;MET-011–MET-013,MODEL-002;MODEL-007;MODEL-010,AN-006,FIND-003,DAX-003;DAX-011–DAX-013,VIS-008;VIS-011–VIS-014,Commercial & Category Performance
BR-012–BR-014,MET-003;MET-008–MET-010,MODEL-001;MODEL-002;MODEL-005;MODEL-008,AN-007,FIND-004,DAX-003;DAX-008–DAX-010,VIS-015,Commercial & Category Performance
BR-015–BR-017,MET-008;MET-009;MET-015,MODEL-001;MODEL-012,AN-008,FIND-005;PYFIND-006,DAX-008;DAX-009;DAX-015,VIS-005;VIS-010;VIS-020;VIS-022,Delivery & Customer Experience
BR-018–BR-020,MET-009;MET-010;MET-015,MODEL-001;MODEL-005;MODEL-012,AN-009;AN-010,FIND-006;PYFIND-007,DAX-009;DAX-010;DAX-015,VIS-006;VIS-020;VIS-021,Delivery & Customer Experience
BR-021–BR-022,MET-001–MET-015,MODEL-001–MODEL-012,AN-001–AN-011,FIND-001–FIND-008;PYFIND-001–PYFIND-007,DAX-001–DAX-015,VIS-001–VIS-025,All pages
