table_name,source_model,model_id,grain,rows,primary_key,output_file,generated_at_or_build_version,hash,supported_metrics,notes
bi_orders,MODEL-012,MODEL-012,one row per order,99441,order_id,data/processed/powerbi/bi_orders.csv,Phase 7 deterministic build v1,ccd9fd9a6b8c8254858cba05e039ef5be3decb7ac67f4fc1d6165252c16a046e,MET-001;MET-002;MET-005–MET-010;MET-015,Rebuildable; do not edit manually
bi_order_items,MODEL-002;MODEL-007;MODEL-008,MODEL-002;MODEL-007;MODEL-008,one row per order item,112650,order_id + order_item_id,data/processed/powerbi/bi_order_items.csv,Phase 7 deterministic build v1,622630be37f95281f4f4ca2f2e9b0c6359ce70a5baa834ca40f2baf824927186,MET-003;MET-004;MET-011–MET-013,Rebuildable; do not edit manually
bi_payments,MODEL-003,MODEL-003,one row per payment sequence,103886,order_id + payment_sequential,data/processed/powerbi/bi_payments.csv,Phase 7 deterministic build v1,cb29f84c4f9e51d7bf10dd6cdc9d9cc2f897d4efb4f77e6cd3d816b34da5cb12,MET-014,Rebuildable; do not edit manually
bi_order_reviews,MODEL-005,MODEL-005,one row per reviewed order,98673,order_id,data/processed/powerbi/bi_order_reviews.csv,Phase 7 deterministic build v1,5e570874a309cb5f093272799c02eead5dd09bc15ccaa12b59f7265e37771c72,MET-010,Rebuildable; do not edit manually
dim_date,MODEL-009,MODEL-009,one row per date,800,date,data/processed/powerbi/dim_date.csv,Phase 7 deterministic build v1,0a7f938bae1f93cb5754adb387726dfa2092441f5d64b6afbdcdd6b6affb6b17,MET-001–MET-015,Rebuildable; do not edit manually
dim_customer_identity,MODEL-006,MODEL-006,one row per observed stable customer,96096,customer_unique_id,data/processed/powerbi/dim_customer_identity.csv,Phase 7 deterministic build v1,3d58d95ead22b7bb3a2f39d5ec18bcb53d41abdf748852ff110f5135cfa2597d,MET-006;MET-007,Rebuildable; do not edit manually
bi_monthly_trends,SQL-003,reporting output,one row per calendar month,26,year_month,data/processed/powerbi/bi_monthly_trends.csv,Phase 7 deterministic build v1,3a8fef6cc5f1b7139447d22715aca5fb943a8e2e28d489871d8c1fce938a5ad7,MET-001;MET-003;MET-005;MET-006;MET-009;MET-015,Rebuildable; do not edit manually
bi_category_performance,SQL-005,reporting output,one row per category,74,category,data/processed/powerbi/bi_category_performance.csv,Phase 7 deterministic build v1,3705f9963570d1cb23c53ba2177bfd1f380abb7b03a3fc6623b2197468930c9d,MET-003;MET-010–MET-013,Rebuildable; do not edit manually
bi_customer_state,SQL-009,reporting output,one row per Customer State,27,customer_state,data/processed/powerbi/bi_customer_state.csv,Phase 7 deterministic build v1,114c62ce991bf29ac8b587ff802b759538acfca059931bd24cb4e8d039b82c7c,MET-001;MET-003;MET-005;MET-006;MET-008–MET-010,Rebuildable; do not edit manually
bi_customer_frequency,PYFIND-002,reporting output,one row per observed frequency group,5,frequency_group,data/processed/powerbi/bi_customer_frequency.csv,Phase 7 deterministic build v1,72c72e7741524730cfe52ad7785ebd954942e6958e5a6b868c5ad96d5c731604,MET-006;MET-007,Rebuildable; do not edit manually
bi_delivery_review,SQL-008,reporting output,one row per delivery outcome,2,delivery_outcome,data/processed/powerbi/bi_delivery_review.csv,Phase 7 deterministic build v1,848e4da47632b996baefc05cb9bd021d3ce222e54653dd31d06fc09c2573880d,MET-009;MET-010;MET-015,Rebuildable; do not edit manually
