issue_id,metric_id,impact,reason
DQ-011,MET-001,NO_IMPACT,No direct Phase 2 impact identified
DQ-011,MET-002,NO_IMPACT,No direct Phase 2 impact identified
DQ-011,MET-003,NO_IMPACT,No direct Phase 2 impact identified
DQ-011,MET-004,NO_IMPACT,No direct Phase 2 impact identified
DQ-011,MET-005,NO_IMPACT,No direct Phase 2 impact identified
DQ-011,MET-006,REQUIRES_RULE,Using customer_id as a stable identity understates repeat behavior.
DQ-011,MET-007,REQUIRES_RULE,Using customer_id as a stable identity understates repeat behavior.
DQ-011,MET-008,NO_IMPACT,No direct Phase 2 impact identified
DQ-011,MET-009,NO_IMPACT,No direct Phase 2 impact identified
DQ-011,MET-010,NO_IMPACT,No direct Phase 2 impact identified
DQ-011,MET-011,NO_IMPACT,No direct Phase 2 impact identified
DQ-011,MET-012,NO_IMPACT,No direct Phase 2 impact identified
DQ-011,MET-013,NO_IMPACT,No direct Phase 2 impact identified
DQ-011,MET-014,NO_IMPACT,No direct Phase 2 impact identified
DQ-011,MET-015,NO_IMPACT,No direct Phase 2 impact identified
DQ-016,MET-001,REQUIRES_RULE,Metric populations and denominators can differ by source coverage.
DQ-016,MET-002,REQUIRES_RULE,Metric populations and denominators can differ by source coverage.
DQ-016,MET-003,REQUIRES_RULE,Metric populations and denominators can differ by source coverage.
DQ-016,MET-004,REQUIRES_RULE,Metric populations and denominators can differ by source coverage.
DQ-016,MET-005,REQUIRES_RULE,Metric populations and denominators can differ by source coverage.
DQ-016,MET-006,REQUIRES_RULE,Metric populations and denominators can differ by source coverage.
DQ-016,MET-007,REQUIRES_RULE,Metric populations and denominators can differ by source coverage.
DQ-016,MET-008,REQUIRES_RULE,Metric populations and denominators can differ by source coverage.
DQ-016,MET-009,REQUIRES_RULE,Metric populations and denominators can differ by source coverage.
DQ-016,MET-010,REQUIRES_RULE,Metric populations and denominators can differ by source coverage.
DQ-016,MET-011,REQUIRES_RULE,Metric populations and denominators can differ by source coverage.
DQ-016,MET-012,REQUIRES_RULE,Metric populations and denominators can differ by source coverage.
DQ-016,MET-013,REQUIRES_RULE,Metric populations and denominators can differ by source coverage.
DQ-016,MET-014,REQUIRES_RULE,Metric populations and denominators can differ by source coverage.
DQ-016,MET-015,REQUIRES_RULE,Metric populations and denominators can differ by source coverage.
DQ-015,MET-001,NO_IMPACT,No direct Phase 2 impact identified
DQ-015,MET-002,NO_IMPACT,No direct Phase 2 impact identified
DQ-015,MET-003,BLOCKING,Can materially corrupt monetary metrics and conclusions.
DQ-015,MET-004,BLOCKING,Can materially corrupt monetary metrics and conclusions.
DQ-015,MET-005,BLOCKING,Can materially corrupt monetary metrics and conclusions.
DQ-015,MET-006,NO_IMPACT,No direct Phase 2 impact identified
DQ-015,MET-007,NO_IMPACT,No direct Phase 2 impact identified
DQ-015,MET-008,NO_IMPACT,No direct Phase 2 impact identified
DQ-015,MET-009,NO_IMPACT,No direct Phase 2 impact identified
DQ-015,MET-010,NO_IMPACT,No direct Phase 2 impact identified
DQ-015,MET-011,NO_IMPACT,No direct Phase 2 impact identified
DQ-015,MET-012,BLOCKING,Can materially corrupt monetary metrics and conclusions.
DQ-015,MET-013,BLOCKING,Can materially corrupt monetary metrics and conclusions.
