metric_id,order_status,decision,rationale,required_fields,caveat
MET-001,created,INCLUDE,All observed statuses; valid non-null order_id and purchase timestamp.,See metric decision register,Metric-specific rule; never reuse as global filter
MET-001,approved,INCLUDE,All observed statuses; valid non-null order_id and purchase timestamp.,See metric decision register,Metric-specific rule; never reuse as global filter
MET-001,invoiced,INCLUDE,All observed statuses; valid non-null order_id and purchase timestamp.,See metric decision register,Metric-specific rule; never reuse as global filter
MET-001,processing,INCLUDE,All observed statuses; valid non-null order_id and purchase timestamp.,See metric decision register,Metric-specific rule; never reuse as global filter
MET-001,shipped,INCLUDE,All observed statuses; valid non-null order_id and purchase timestamp.,See metric decision register,Metric-specific rule; never reuse as global filter
MET-001,delivered,INCLUDE,All observed statuses; valid non-null order_id and purchase timestamp.,See metric decision register,Metric-specific rule; never reuse as global filter
MET-001,canceled,INCLUDE,All observed statuses; valid non-null order_id and purchase timestamp.,See metric decision register,Metric-specific rule; never reuse as global filter
MET-001,unavailable,INCLUDE,All observed statuses; valid non-null order_id and purchase timestamp.,See metric decision register,Metric-specific rule; never reuse as global filter
MET-002,created,EXCLUDE,Include delivered only; do not require customer-delivery timestamp.,See metric decision register,Metric-specific rule; never reuse as global filter
MET-002,approved,EXCLUDE,Include delivered only; do not require customer-delivery timestamp.,See metric decision register,Metric-specific rule; never reuse as global filter
MET-002,invoiced,EXCLUDE,Include delivered only; do not require customer-delivery timestamp.,See metric decision register,Metric-specific rule; never reuse as global filter
MET-002,processing,EXCLUDE,Include delivered only; do not require customer-delivery timestamp.,See metric decision register,Metric-specific rule; never reuse as global filter
MET-002,shipped,EXCLUDE,Include delivered only; do not require customer-delivery timestamp.,See metric decision register,Metric-specific rule; never reuse as global filter
MET-002,delivered,INCLUDE,Include delivered only; do not require customer-delivery timestamp.,See metric decision register,Metric-specific rule; never reuse as global filter
MET-002,canceled,EXCLUDE,Include delivered only; do not require customer-delivery timestamp.,See metric decision register,Metric-specific rule; never reuse as global filter
MET-002,unavailable,EXCLUDE,Include delivered only; do not require customer-delivery timestamp.,See metric decision register,Metric-specific rule; never reuse as global filter
MET-003,created,EXCLUDE,"Include approved, invoiced, processing, shipped, delivered orders with item rows; exclude created, canceled, unavailable.",See metric decision register,Metric-specific rule; never reuse as global filter
MET-003,approved,INCLUDE,"Include approved, invoiced, processing, shipped, delivered orders with item rows; exclude created, canceled, unavailable.",See metric decision register,Metric-specific rule; never reuse as global filter
MET-003,invoiced,INCLUDE,"Include approved, invoiced, processing, shipped, delivered orders with item rows; exclude created, canceled, unavailable.",See metric decision register,Metric-specific rule; never reuse as global filter
MET-003,processing,INCLUDE,"Include approved, invoiced, processing, shipped, delivered orders with item rows; exclude created, canceled, unavailable.",See metric decision register,Metric-specific rule; never reuse as global filter
MET-003,shipped,INCLUDE,"Include approved, invoiced, processing, shipped, delivered orders with item rows; exclude created, canceled, unavailable.",See metric decision register,Metric-specific rule; never reuse as global filter
MET-003,delivered,INCLUDE,"Include approved, invoiced, processing, shipped, delivered orders with item rows; exclude created, canceled, unavailable.",See metric decision register,Metric-specific rule; never reuse as global filter
MET-003,canceled,EXCLUDE,"Include approved, invoiced, processing, shipped, delivered orders with item rows; exclude created, canceled, unavailable.",See metric decision register,Metric-specific rule; never reuse as global filter
