metric_id,business_requirements,data_requirements,DQ_requirements,future_model_ids,future_analysis_ids,acceptance_criteria
MET-001,BR-001,DATA-001–DATA-008,DQ-001; DQ-003; DQ-005; DQ-008; DQ-016,MODEL-001;MODEL-009;MODEL-012,AN-001; AN-002,AC-004; AC-005; AC-007; AC-010; AC-013; AC-016; AC-017–AC-024
MET-002,BR-001; BR-017,DATA-001–DATA-008,DQ-003; DQ-008; DQ-009,MODEL-001;MODEL-012,AN-001,AC-004; AC-005; AC-007; AC-010; AC-013; AC-016; AC-017–AC-024
MET-003,BR-002; BR-009,DATA-001–DATA-008,DQ-007; DQ-008; DQ-012; DQ-015; DQ-016,MODEL-002;MODEL-007;MODEL-010;MODEL-012,AN-001; AN-002; AN-006; AN-007,AC-004; AC-005; AC-007; AC-010; AC-013; AC-016; AC-017–AC-024
MET-004,BR-002,DATA-001–DATA-008,DQ-007; DQ-008; DQ-015; DQ-016,MODEL-002;MODEL-010;MODEL-012,AN-001,AC-004; AC-005; AC-007; AC-010; AC-013; AC-016; AC-017–AC-024
MET-005,BR-002; BR-009,DATA-001–DATA-008,DQ-007; DQ-008; DQ-015; DQ-016,MODEL-002;MODEL-010;MODEL-012,AN-001; AN-002; AN-006,AC-004; AC-005; AC-007; AC-010; AC-013; AC-016; AC-017–AC-024
MET-006,BR-005,DATA-001–DATA-008,DQ-005; DQ-008; DQ-011; DQ-016; DQ-018,MODEL-001;MODEL-006;MODEL-012,AN-002; AN-003,AC-004; AC-005; AC-007; AC-010; AC-013; AC-016; AC-017–AC-024
MET-007,BR-006; BR-007,DATA-001–DATA-008,DQ-008; DQ-011; DQ-016; DQ-018,MODEL-001;MODEL-006,AN-003; AN-004,AC-004; AC-005; AC-007; AC-010; AC-013; AC-016; AC-017–AC-024
MET-008,BR-015; BR-017,DATA-001–DATA-008,DQ-005; DQ-006; DQ-008; DQ-009; DQ-016,MODEL-001;MODEL-012,AN-007; AN-008,AC-004; AC-005; AC-007; AC-010; AC-013; AC-016; AC-017–AC-024
MET-009,BR-015; BR-017,DATA-001–DATA-008,DQ-005; DQ-006; DQ-008; DQ-009; DQ-016,MODEL-001;MODEL-012,AN-008; AN-010,AC-004; AC-005; AC-007; AC-010; AC-013; AC-016; AC-017–AC-024
MET-010,BR-018; BR-020,DATA-001–DATA-008,DQ-002; DQ-008; DQ-010; DQ-016,MODEL-004;MODEL-005;MODEL-012,AN-007; AN-009; AN-010,AC-004; AC-005; AC-007; AC-010; AC-013; AC-016; AC-017–AC-024
MET-011,BR-009,DATA-001–DATA-008,DQ-002; DQ-003; DQ-008; DQ-016,MODEL-002;MODEL-010,AN-006,AC-004; AC-005; AC-007; AC-010; AC-013; AC-016; AC-017–AC-024
MET-012,BR-010; BR-016,DATA-001–DATA-008,DQ-007; DQ-008; DQ-015; DQ-016,MODEL-002;MODEL-010;MODEL-012,AN-006; AN-008,AC-004; AC-005; AC-007; AC-010; AC-013; AC-016; AC-017–AC-024
MET-013,BR-010,DATA-001–DATA-008,DQ-007; DQ-008; DQ-015; DQ-016,MODEL-002;MODEL-010;MODEL-012,AN-006,AC-004; AC-005; AC-007; AC-010; AC-013; AC-016; AC-017–AC-024
MET-014,BR-021; BR-022,DATA-001–DATA-008,DQ-007; DQ-008; DQ-015; DQ-016,MODEL-003;MODEL-011;MODEL-012,AN-011,AC-004; AC-005; AC-007; AC-010; AC-013; AC-016; AC-017–AC-024
MET-015,BR-015; BR-017,DATA-001–DATA-008,DQ-005; DQ-006; DQ-008; DQ-009; DQ-016,MODEL-001;MODEL-012,AN-008,AC-004; AC-005; AC-007; AC-010; AC-013; AC-016; AC-017–AC-024
