cohort_month,cohort_period_status,month_index,cohort_size,observed_return_customers,return_rate,observable,censoring_reason
2016-09-01,PARTIAL_PERIOD,0,2,2,1,True,
2016-09-01,PARTIAL_PERIOD,1,2,,,False,TARGET_PARTIAL_PERIOD
2016-09-01,PARTIAL_PERIOD,2,2,,,False,TARGET_NOT_OBSERVED_OR_NO_ACTIVITY
2016-09-01,PARTIAL_PERIOD,3,2,,,False,TARGET_PARTIAL_PERIOD
2016-09-01,PARTIAL_PERIOD,4,2,,,False,TARGET_PARTIAL_PERIOD
2016-09-01,PARTIAL_PERIOD,5,2,0,0,True,
2016-09-01,PARTIAL_PERIOD,6,2,0,0,True,
2016-09-01,PARTIAL_PERIOD,7,2,0,0,True,
2016-09-01,PARTIAL_PERIOD,8,2,0,0,True,
2016-09-01,PARTIAL_PERIOD,9,2,0,0,True,
2016-09-01,PARTIAL_PERIOD,10,2,0,0,True,
2016-09-01,PARTIAL_PERIOD,11,2,0,0,True,
2016-09-01,PARTIAL_PERIOD,12,2,0,0,True,
2016-09-01,PARTIAL_PERIOD,13,2,0,0,True,
2016-09-01,PARTIAL_PERIOD,14,2,0,0,True,
2016-09-01,PARTIAL_PERIOD,15,2,0,0,True,
2016-09-01,PARTIAL_PERIOD,16,2,0,0,True,
2016-09-01,PARTIAL_PERIOD,17,2,0,0,True,
2016-09-01,PARTIAL_PERIOD,18,2,0,0,True,
2016-09-01,PARTIAL_PERIOD,19,2,0,0,True,
2016-09-01,PARTIAL_PERIOD,20,2,0,0,True,
2016-10-01,PARTIAL_PERIOD,0,290,290,1,True,
2016-10-01,PARTIAL_PERIOD,1,290,,,False,TARGET_NOT_OBSERVED_OR_NO_ACTIVITY
2016-10-01,PARTIAL_PERIOD,2,290,,,False,TARGET_PARTIAL_PERIOD
2016-10-01,PARTIAL_PERIOD,3,290,,,False,TARGET_PARTIAL_PERIOD
2016-10-01,PARTIAL_PERIOD,4,290,0,0,True,
2016-10-01,PARTIAL_PERIOD,5,290,0,0,True,
2016-10-01,PARTIAL_PERIOD,6,290,1,0.00344827586206897,True,
2016-10-01,PARTIAL_PERIOD,7,290,0,0,True,
2016-10-01,PARTIAL_PERIOD,8,290,0,0,True,
2016-10-01,PARTIAL_PERIOD,9,290,1,0.00344827586206897,True,
2016-10-01,PARTIAL_PERIOD,10,290,0,0,True,
2016-10-01,PARTIAL_PERIOD,11,290,1,0.00344827586206897,True,
2016-10-01,PARTIAL_PERIOD,12,290,0,0,True,
2016-10-01,PARTIAL_PERIOD,13,290,1,0.00344827586206897,True,
2016-10-01,PARTIAL_PERIOD,14,290,0,0,True,
2016-10-01,PARTIAL_PERIOD,15,290,1,0.00344827586206897,True,
2016-10-01,PARTIAL_PERIOD,16,290,0,0,True,
2016-10-01,PARTIAL_PERIOD,17,290,1,0.00344827586206897,True,
2016-10-01,PARTIAL_PERIOD,18,290,0,0,True,
2016-10-01,PARTIAL_PERIOD,19,290,2,0.00689655172413793,True,
2016-10-01,PARTIAL_PERIOD,20,290,2,0.00689655172413793,True,
2016-12-01,PARTIAL_PERIOD,0,1,1,1,True,
2016-12-01,PARTIAL_PERIOD,1,1,,,False,TARGET_PARTIAL_PERIOD
2016-12-01,PARTIAL_PERIOD,2,1,0,0,True,
2016-12-01,PARTIAL_PERIOD,3,1,0,0,True,
2016-12-01,PARTIAL_PERIOD,4,1,0,0,True,
2016-12-01,PARTIAL_PERIOD,5,1,0,0,True,
2016-12-01,PARTIAL_PERIOD,6,1,0,0,True,
2016-12-01,PARTIAL_PERIOD,7,1,0,0,True,
2016-12-01,PARTIAL_PERIOD,8,1,0,0,True,
2016-12-01,PARTIAL_PERIOD,9,1,0,0,True,
2016-12-01,PARTIAL_PERIOD,10,1,0,0,True,
2016-12-01,PARTIAL_PERIOD,11,1,0,0,True,
2016-12-01,PARTIAL_PERIOD,12,1,0,0,True,
2016-12-01,PARTIAL_PERIOD,13,1,0,0,True,
2016-12-01,PARTIAL_PERIOD,14,1,0,0,True,
2016-12-01,PARTIAL_PERIOD,15,1,0,0,True,
2016-12-01,PARTIAL_PERIOD,16,1,0,0,True,
2016-12-01,PARTIAL_PERIOD,17,1,0,0,True,
2016-12-01,PARTIAL_PERIOD,18,1,0,0,True,
2016-12-01,PARTIAL_PERIOD,19,1,0,0,True,
2016-12-01,PARTIAL_PERIOD,20,1,0,0,True,
2017-01-01,PARTIAL_PERIOD,0,752,752,1,True,
2017-01-01,PARTIAL_PERIOD,1,752,3,0.00398936170212766,True,
2017-01-01,PARTIAL_PERIOD,2,752,2,0.00265957446808511,True,
2017-01-01,PARTIAL_PERIOD,3,752,1,0.00132978723404255,True,
2017-01-01,PARTIAL_PERIOD,4,752,3,0.00398936170212766,True,
2017-01-01,PARTIAL_PERIOD,5,752,1,0.00132978723404255,True,
2017-01-01,PARTIAL_PERIOD,6,752,3,0.00398936170212766,True,
2017-01-01,PARTIAL_PERIOD,7,752,1,0.00132978723404255,True,
2017-01-01,PARTIAL_PERIOD,8,752,1,0.00132978723404255,True,
2017-01-01,PARTIAL_PERIOD,9,752,0,0,True,
2017-01-01,PARTIAL_PERIOD,10,752,3,0.00398936170212766,True,
