delivery_outcome,mean_review_score,reviewed_orders,order_share
LATE,1,3533,0.461166949484402
LATE,1.5,1,0.000130531262237306
LATE,2,602,0.0785798198668581
LATE,2.5,6,0.000783187573423835
LATE,3,868,0.113301135621981
LATE,3.5,3,0.000391593786711917
LATE,4,945,0.123352042814254
LATE,4.5,2,0.000261062524474612
LATE,5,1701,0.222033677065657
ON_TIME,1,5779,0.0655490398466477
ON_TIME,1.5,7,7.93983870784796e-05
ON_TIME,2,2314,0.0262468382428003
ON_TIME,2.5,24,0.00027222304141193
ON_TIME,3,7047,0.079931490534578
ON_TIME,3.33333333333333,1,1.13426267254971e-05
ON_TIME,3.5,20,0.000226852534509942
ON_TIME,4,17923,0.203293898801084
ON_TIME,4.33333333333333,1,1.13426267254971e-05
ON_TIME,4.5,51,0.000578473963000352
ON_TIME,5,54996,0.623799099395438
