year_month,category,item_count,order_count,product_gmv,previous_product_gmv,product_gmv_pct_change
2016-10-01,bed_bath_table,8,5,478.99,,
2017-01-01,bed_bath_table,48,45,3960.16,478.99,7.267730015240402
2017-02-01,bed_bath_table,163,144,16200.83,3960.16,3.090953395822391
2017-03-01,bed_bath_table,289,249,25773.02,16200.83,0.5908456542041365
2017-04-01,bed_bath_table,274,234,24347.69,25773.02,-0.05530318138890979
2017-05-01,bed_bath_table,368,328,33318.55,24347.69,0.36844809507596005
2017-06-01,bed_bath_table,382,335,35114.81,33318.55,0.0539117098433155
2017-07-01,bed_bath_table,578,512,63838.85,35114.81,0.8180035717123345
2017-08-01,bed_bath_table,511,447,57067.33,63838.85,-0.10607208619829463
2017-09-01,bed_bath_table,533,461,52473.20,57067.33,-0.08050367872476248
2017-10-01,bed_bath_table,545,445,46198.00,52473.20,-0.1195886662143723
2017-11-01,bed_bath_table,973,815,89172.65,46198.00,0.9302274990259319
2017-12-01,bed_bath_table,552,481,50505.85,89172.65,-0.433617258206412
2018-01-01,bed_bath_table,846,697,76281.90,50505.85,0.5103577110374343
2018-02-01,bed_bath_table,687,590,60496.18,76281.90,-0.20693926082071895
2018-03-01,bed_bath_table,798,670,69256.39,60496.18,0.1448060026269427
2018-04-01,bed_bath_table,745,607,72328.35,69256.39,0.044356340259721884
2018-05-01,bed_bath_table,746,605,71664.93,72328.35,-0.009172336988193424
2018-06-01,bed_bath_table,772,656,71545.58,71664.93,-0.0016653891938497674
2018-07-01,bed_bath_table,621,515,54904.92,71545.58,-0.23258823256447148
2018-08-01,bed_bath_table,658,558,61035.88,54904.92,0.11166503839728753
2016-10-01,computers_accessories,21,18,1399.32,,
2017-01-01,computers_accessories,31,24,3924.14,1399.32,1.8043192407740904
2017-02-01,computers_accessories,106,97,11972.59,3924.14,2.0510099028067295
2017-03-01,computers_accessories,173,149,28145.60,11972.59,1.3508363687389278
2017-04-01,computers_accessories,135,119,19550.16,28145.60,-0.3053919617986471
2017-05-01,computers_accessories,314,258,45397.28,19550.16,1.322092504613773
2017-06-01,computers_accessories,261,219,37007.08,45397.28,-0.1848172401518329
2017-07-01,computers_accessories,324,272,38616.11,37007.08,0.04347897753619037
2017-08-01,computers_accessories,350,297,35025.72,38616.11,-0.09297648054141133
2017-09-01,computers_accessories,253,216,28930.98,35025.72,-0.17400755787461328
2017-10-01,computers_accessories,317,261,42684.29,28930.98,0.4753834816518486
2017-11-01,computers_accessories,526,442,71356.01,42684.29,0.6717159873105538
2017-12-01,computers_accessories,287,252,37880.65,71356.01,-0.4691316120394064
2018-01-01,computers_accessories,699,585,81685.38,37880.65,1.156388023964742
2018-02-01,computers_accessories,976,796,100367.79,81685.38,0.22871179640714162
