category,item_count,order_count,product_gmv,gross_order_value,freight_value,product_gmv_rank,product_gmv_share,cumulative_product_gmv_share,category_value_per_order,freight_burden,delivery_denominator,late_orders,late_delivery_rate,reviewed_orders,avg_order_review_score
health_beauty,9634,8800,1255695.13,1437665.78,181970.65,1,0.09305304875657634,0.09305304875657634,142.6926284090909,0.12657368112357797,8647,775,0.08962646004394588,8735,4.190650639190993
watches_gifts,5970,5604,1198185.21,1298292.47,100107.26,2,0.0887912870742269,0.18184433583080326,213.80892398286937,0.07710686329406193,5493,468,0.085199344620426,5557,4.074500629836242
bed_bath_table,11097,9399,1035964.06,1240386.13,204422.07,3,0.07676991961037612,0.2586142554411794,110.22066815618683,0.16480518852625353,9272,811,0.08746764452113891,9295,3.9742334588488433
sports_leisure,8590,7673,979740.92,1147244.63,167503.71,4,0.0726035145151618,0.33121776995634117,127.68681350188974,0.1460052247095722,7529,584,0.07756674193119936,7623,4.1838515020333205
computers_accessories,7781,6654,904322.02,1050941.58,146619.56,5,0.06701461127646932,0.39823238123281046,135.9065253982567,0.13951256929048328,6529,503,0.07704089447082249,6616,4.039223095525998
furniture_decor,8298,6425,727465.05,899626.04,172160.99,6,0.05390865915547133,0.4521410403882818,113.22413229571985,0.1913695050445627,6307,535,0.08482638338354209,6375,4.020078431372549
housewares,6915,5847,626825.80,772035.14,145209.34,7,0.04645080667731823,0.49859184706560006,107.20468616384471,0.18808643865614716,5743,399,0.06947588368448546,5808,4.158402203856749
cool_stuff,3779,3616,620770.49,704086.24,83315.75,8,0.046002079081579134,0.5445939261471792,171.6732549778761,0.11833174015728527,3559,243,0.06827760606912053,3586,4.180284439486893
auto,4204,3872,586585.73,678606.64,92020.91,9,0.043468823944233924,0.5880627500914131,151.4942484504132,0.13560272560846148,3809,328,0.08611184037805199,3852,4.105529595015576
garden_tools,4328,3505,481009.94,579525.20,98515.26,10,0.03564515010838488,0.6237079001997979,137.23536091298146,0.16999305638477843,3448,274,0.07946635730858469,3483,4.145564168819983
toys,4083,3855,479808.54,556783.29,76974.75,11,0.0355561205899092,0.6592640207897073,124.46395330739298,0.1382490304261825,3803,286,0.07520378648435445,3822,4.208137100994244
baby,3043,2868,410312.20,478320.00,68007.80,12,0.030406107533456874,0.689670128323164,143.06562064156208,0.1421805485867202,2809,258,0.09184763260946956,2844,4.0536216596343175
perfumery,3402,3146,396599.31,450580.47,53981.16,13,0.029389916428404512,0.7190600447515686,126.06462492053402,0.11980359468309847,3086,228,0.07388204795852236,3134,4.215220165922144
telephony,4527,4183,322342.64,393306.02,70963.38,14,0.023887140022788446,0.742947184774357,77.06015778149654,0.18042790191718908,4093,349,0.08526752992914732,4154,4.010351468464131
office_furniture,1690,1272,273580.70,342073.02,68492.32,15,0.020273645734341813,0.7632208305086988,215.07916666666668,0.20022719125875524,1254,115,0.09170653907496013,1262,3.616877971473851
stationery,2505,2299,229593.84,276152.18,46558.34,16,0.017014007841003244,0.7802348383497021,99.86682905611136,0.16859667738273873,2264,176,0.07773851590106007,2284,4.25547285464098
computers,203,181,222963.13,232799.43,9836.30,17,0.01652264033771388,0.796757478687416,1231.840497237569,0.042252251218999975,177,13,0.07344632768361582,178,4.174157303370786
pet_shop,1942,1706,213766.63,253176.96,39410.33,18,0.015841135454526305,0.8125986141419422,125.30283118405627,0.1556631772496202,1688,106,0.06279620853080568,1697,4.24572775486152
small_appliances,671,622,187907.26,203731.50,15824.24,19,0.013924831759516873,0.8265234459014591,302.1017041800643,0.0776720340251753,609,38,0.06239737274220033,617,4.2058346839546195
musical_instruments,669,620,187788.44,206021.32,18232.88,20,0.013916026626018221,0.8404394725274773,302.8845806451613,0.08849996689662992,611,54,0.088379705400982,614,4.210097719869707
Unknown Category,1589,1437,178572.55,206524.29,27951.74,21,0.013233084850568917,0.8536725573780463,124.26760612386916,0.13534359566131424,1392,127,0.09123563218390805,1425,3.9350877192982456
electronics,2755,2543,157079.54,203416.77,46337.23,22,0.011640349432812235,0.8653129068108586,61.769382618954,0.22779454221006462,2517,247,0.09813269765593961,2524,4.100237717908082
consoles_games,1127,1054,154927.27,174639.60,19712.33,23,0.011480855873856314,0.8767937626847149,146.98981973434533,0.11287434235992296,1018,83,0.08153241650294696,1044,4.08860153256705
fashion_bags_accessories,2025,1858,151622.75,182934.76,31312.01,24,0.01123597504782565,0.8880297377325405,81.60535522066739,0.17116490053612554,1820,121,0.06648351648351648,1848,4.199945887445887
construction_tools_construction,927,746,144550.19,165179.69,20629.50,25,0.010711864334332789,0.8987416020668733,193.76701072386058,0.12489126235798118,736,67,0.09103260869565218,741,4.089743589743589
luggage_accessories,1088,1030,140111.38,170504.09,30392.71,26,0.01038292716361112,0.9091245292304844,136.03046601941747,0.17825208767719297,1019,56,0.0549558390578999,1026,4.344054580896686
home_appliances_2,235,231,110649.74,121055.52,10405.78,27,0.008199677935457547,0.917324207165942,479.0032034632035,0.08595874025405864,227,16,0.07048458149779736,230,4.147826086956521
home_construction,603,489,83010.12,96833.62,13823.50,28,0.006151449152828404,0.9234756563187703,169.75484662576687,0.14275517118951042,483,39,0.08074534161490683,487,3.9671457905544147
home_appliances,769,762,80001.24,94771.30,14770.06,29,0.005928476672762573,0.9294041329915329,104.98850393700788,0.15584950296133956,747,50,0.06693440428380187,759,4.168423364075538
agro_industry_and_commerce,212,182,72530.47,78374.07,5843.60,30,0.005374856682965234,0.934778989674498,398.51906593406596,0.07456037436871658,177,9,0.05084745762711865,182,4.021978021978022
furniture_living_room,501,420,68638.56,86557.30,17918.74,31,0.005086447432714971,0.939865437107213,163.42514285714284,0.2070159304876654,414,35,0.08454106280193237,415,4.03855421686747
home_confort,434,397,58572.04,67073.27,8501.23,32,0.0043404698829182685,0.9442059069901314,147.53662468513855,0.12674542332586436,392,41,0.10459183673469388,395,3.8632911392405065
fixed_telephony,261,214,57824.21,62414.05,4589.84,33,0.004285052083016766,0.9484909590731481,270.20658878504673,0.07353857024179651,212,11,0.05188679245283019,211,3.943127962085308
air_conditioning,295,251,54723.16,61436.57,6713.41,34,0.004055249362633053,0.9525462084357812,218.0205577689243,0.10927384129680416,246,10,0.04065040650406504,247,4.052631578947368
audio,363,349,50668.60,56371.26,5702.66,35,0.0037547869650712625,0.9563009954008524,145.18223495702006,0.10116254275671681,348,45,0.12931034482758622,346,3.842485549132948
small_appliances_home_oven_and_coffee,76,75,47445.71,50193.57,2747.86,36,0.003515955314663347,0.9598169507155158,632.6094666666667,0.0547452592035195,72,5,0.06944444444444445,75,4.293333333333333
kitchen_dining_laundry_garden_furniture,279,246,46070.37,57905.76,11835.39,37,0.003414036005573672,0.9632309867210894,187.2779268292683,0.20439054767608608,241,11,0.04564315352697095,244,4.065573770491803
books_general_interest,546,505,45622.29,54658.69,9036.40,38,0.003380831122405218,0.9666118178434947,90.34116831683168,0.1653241232089536,495,34,0.06868686868686869,501,4.502994011976048
construction_tools_lights,302,243,40002.00,47511.18,7509.18,39,0.0029643406010187896,0.9695761584445135,164.6172839506173,0.15805079983279727,242,22,0.09090909090909091,240,4.1375
industry_commerce_and_business,268,235,39669.61,47554.29,7884.68,40,0.00293970890329436,0.9725158673478078,168.80685106382978,0.16580375818879853,231,19,0.08225108225108226,233,4.1888412017167385
construction_tools_safety,189,165,39589.02,43420.59,3831.57,41,0.0029337367966737883,0.9754496041444816,239.93345454545454,0.08824315837256012,159,7,0.0440251572327044,164,3.8719512195121952
food,509,449,29243.51,36496.78,7253.27,42,0.0021670847459951746,0.9776166888904767,65.13031180400891,0.19873725846499338,441,44,0.09977324263038549,444,4.283783783783784
market_place,310,279,28288.47,33694.53,5406.06,43,0.0020963116884581273,0.979713000578935,101.39236559139785,0.16044325295530165,274,13,0.04744525547445255,277,4.03971119133574
costruction_tools_garden,234,192,25552.18,30781.89,5229.71,44,0.0018935394384915827,0.9816065400174264,133.08427083333333,0.1698956756716368,190,13,0.06842105263157895,192,4.21875
art,208,201,24167.64,28196.21,4028.57,45,0.0017909383651518859,0.9833974783825784,120.23701492537313,0.1428762943672217,195,15,0.07692307692307693,199,4.040201005025126
fashion_shoes,260,238,23352.88,28248.41,4895.53,46,0.0017305607303314753,0.9851280391129098,98.12134453781513,0.17330285138172377,235,15,0.06382978723404255,234,4.245726495726496
drinks,378,296,22378.71,28100.75,5722.04,47,0.0016583700477832406,0.9867864091606932,75.60374999999999,0.20362588187148029,287,19,0.06620209059233449,295,4.1661016949152545
signaling_and_security,199,140,21509.23,28017.05,6507.82,48,0.0015939373977713958,0.9883803465584645,153.63735714285713,0.23228070050201574,138,8,0.057971014492753624,138,4.108695652173913
furniture_bedroom,109,95,20028.78,24661.01,4632.23,49,0.0014842289321252214,0.9898645754905897,210.82926315789473,0.1878361835139761,90,7,0.07777777777777778,95,4.131578947368421
books_technical,267,260,19096.06,23379.12,4283.06,50,0.0014151098939425746,0.9912796853845324,73.44638461538462,0.1832002231050613,256,28,0.109375,257,4.400778210116732
costruction_tools_tools,103,97,15903.95,17934.17,2030.22,51,0.0011785591895798406,0.9924582445741121,163.95824742268042,0.11320401222916925,97,6,0.061855670103092786,94,4.425531914893617
food_drink,276,225,15119.48,19608.10,4488.62,52,0.001120426189447817,0.99357867076356,67.19768888888889,0.2289166211922624,221,14,0.06334841628959276,225,4.397777777777778
fashion_male_clothing,131,111,10748.82,12893.45,2144.63,53,0.000796539261512994,0.994375210025073,96.83621621621622,0.16633484443651622,106,5,0.04716981132075472,110,3.727272727272727
fashion_underwear_beach,131,121,9541.55,11457.74,1916.19,54,0.0007070747478038806,0.9950822847728767,78.85578512396694,0.16723978725298358,117,15,0.1282051282051282,120,3.933333333333333
christmas_supplies,152,127,8787.83,12009.19,3221.36,55,0.0006512204705727451,0.9957335052434495,69.19551181102362,0.2682412385847838,125,12,0.096,125,4.08
tablets_printing_image,83,79,7528.41,8754.61,1226.20,56,0.000557891391033345,0.9962913966344829,95.29632911392405,0.14006334948101629,79,5,0.06329113924050633,77,4.1558441558441555
cine_photo,72,65,6933.46,8189.66,1256.20,57,0.0005138027344517708,0.9968051993689347,106.66861538461538,0.1533885411604389,63,5,0.07936507936507936,65,4.230769230769231
music,38,38,6034.35,6724.86,690.51,58,0.00044717435892599705,0.9972523737278607,158.79868421052632,0.10268020449496347,38,3,0.07894736842105263,38,4.2105263157894735
books_imported,60,53,4639.85,5409.70,769.85,59,0.00034383520168084175,0.9975962089295415,87.54433962264152,0.14230918535223766,50,2,0.04,53,4.320754716981132
