customer_state,total_orders,commercial_orders,observed_unique_customers,product_gmv,aov_product_gmv,delivery_denominator,average_delivery_lead_time_days,late_orders,late_delivery_rate,reviewed_orders,average_order_level_review_score
SP,41746,41126,39748,5163867.22,125.56516036474163,40494,8.761385996084991,2387,0.05894700449449301,41472,4.174125514403292
RJ,12852,12697,12241,1811623.42,142.68121761045916,12350,15.309437542172665,1664,0.13473684210526315,12687,3.877262814954941
MG,11635,11496,11134,1573508.20,136.87440848990954,11354,12.008665646060454,637,0.056103575832305796,11554,4.135753851480007
RS,5466,5416,5234,742559.78,137.13015327793167,5344,15.30027619240684,382,0.07148203592814371,5443,4.133657909241228
PR,5045,4982,4824,676883.06,135.86572862304297,4923,11.991582227413314,246,0.049969530773918344,5019,4.181111775254035
SC,3637,3600,3502,518578.28,144.08954709641569,3546,14.954782876767762,346,0.09757473209249859,3609,4.073704627320588
BA,3380,3344,3244,507108.83,151.6473773923445,3256,19.335465824489297,457,0.14035626535626536,3340,3.861077844311377
DF,2140,2120,2057,300886.45,141.92757075471698,2080,12.967568108974366,147,0.07067307692307692,2128,4.066964285714286
GO,2020,1998,1934,287870.46,144.0793093093093,1957,15.606338535456773,160,0.08175779253960143,2007,4.043348281016442
ES,2033,2018,1950,273532.13,135.54614965312192,1995,15.78930711036851,244,0.12230576441102757,2006,4.038384845463609
PE,1652,1643,1600,261739.94,159.30611077297627,1593,18.4483229944084,172,0.10797237915881984,1635,4.008562691131498
CE,1336,1323,1301,226264.06,171.02347694633409,1279,21.2665786349289,196,0.1532447224394058,1326,3.854449472096531
PA,975,969,944,178821.12,184.54191950464397,946,23.772916911361673,117,0.12367864693446089,962,3.8461538461538463
MT,907,902,872,156313.53,173.29659645232815,886,18.05575601172558,60,0.06772009029345373,900,4.101666666666667
MA,747,736,715,119291.62,162.0810054347826,717,21.57297647412055,141,0.19665271966527198,742,3.7580862533692723
MS,715,708,687,116754.65,164.90769774011298,701,15.618319018465694,81,0.11554921540656206,713,4.109396914446003
PB,536,531,516,114874.10,216.33540489642186,517,20.42676760960669,57,0.1102514506769826,530,4.016981132075472
PI,495,490,478,86660.09,176.85732653061223,476,19.45709826291627,76,0.15966386554621848,490,3.9183673469387754
RN,485,482,471,83034.98,172.2717427385892,474,19.278156206047832,51,0.10759493670886076,480,4.105208333333334
AL,413,411,399,80314.81,195.41316301703162,397,24.54385536197407,95,0.23929471032745592,410,3.7609756097560973
SE,350,345,338,58920.85,170.7850724637681,335,21.519788280818137,51,0.15223880597014924,349,3.8080229226361033
TO,280,278,271,49407.99,177.72658273381293,274,17.658062609826988,35,0.12773722627737227,279,4.096774193548387
RO,253,246,234,46031.64,187.12048780487805,243,19.372036513107762,7,0.02880658436213992,252,4.051587301587301
AM,148,147,142,22356.84,152.0873469387755,145,26.425990900383134,6,0.041379310344827586,146,4.205479452054795
AC,81,81,77,15982.95,197.32037037037037,80,21.035712962962965,3,0.0375,81,4.049382716049383
AP,68,68,67,13474.30,198.15147058823527,67,27.185067716970707,3,0.04477611940298507,67,4.1940298507462686
RR,46,45,44,7739.44,171.98755555555556,41,29.38754601400181,5,0.12195121951219512,46,3.608695652173913
