year_month,observed_first_date,observed_last_date,days_represented,total_orders,product_gmv,aov_product_gmv,observed_unique_customers,late_orders,delivery_denominator,period_status,previous_total_orders,order_absolute_change,order_pct_change,previous_product_gmv,product_gmv_absolute_change,product_gmv_pct_change,prior_year_total_orders,order_yoy_pct_change,prior_year_product_gmv,product_gmv_yoy_pct_change,late_delivery_rate,on_time_delivery_rate
2016-09-01,2016-09-04,2016-09-15,12,4,207.86,103.93,2,1,1,PARTIAL_PERIOD,,,,,,,,,,,1.0,0.0
2016-10-01,2016-10-02,2016-10-22,21,324,44507.30,153.47344827586207,290,3,265,PARTIAL_PERIOD,,,,,,,,,,,0.011320754716981131,0.9886792452830189
2016-11-01,,,,,,,,,,NO_OBSERVED_ACTIVITY,,,,,,,,,,,,
2016-12-01,2016-12-23,2016-12-23,1,1,10.90,10.9,1,0,1,PARTIAL_PERIOD,,,,,,,,,,,0.0,1.0
2017-01-01,2017-01-05,2017-01-31,27,800,120098.27,152.60263024142313,753,23,750,PARTIAL_PERIOD,,,,,,,,,,,0.030666666666666665,0.9693333333333334
2017-02-01,2017-02-01,2017-02-28,28,1780,244959.35,142.58402211874272,1693,53,1653,COMPLETE_PERIOD,,,,,,,,,,,0.03206291591046582,0.9679370840895342
2017-03-01,2017-03-01,2017-03-31,31,2682,368341.32,140.74945357279327,2577,142,2546,COMPLETE_PERIOD,1780,902,0.5067415730337078,244959.35,123381.97,0.5036834478863533,,,,,0.05577376276512176,0.9442262372348782
2017-04-01,2017-04-01,2017-04-30,30,2404,353842.98,148.8611611274716,2345,181,2303,COMPLETE_PERIOD,2682,-278,-0.10365398956002983,368341.32,-14498.34,-0.03936115557168552,,,,,0.07859313938341293,0.921406860616587
2017-05-01,2017-05-01,2017-05-31,31,3700,503159.19,138.2305467032967,3569,128,3545,COMPLETE_PERIOD,2404,1296,0.5391014975041597,353842.98,149316.21,0.42198437849466447,,,,,0.03610719322990127,0.9638928067700987
2017-06-01,2017-06-01,2017-06-30,30,3245,429916.61,134.13934789391575,3142,121,3135,COMPLETE_PERIOD,3700,-455,-0.12297297297297298,503159.19,-73242.58,-0.14556542234675274,,,,,0.03859649122807018,0.9614035087719298
2017-07-01,2017-07-01,2017-07-31,31,4026,492287.30,124.75603142422706,3872,133,3872,COMPLETE_PERIOD,3245,781,0.24067796610169492,429916.61,62370.69,0.1450762509501552,,,,,0.034349173553719005,0.965650826446281
2017-08-01,2017-08-01,2017-08-31,31,4331,568245.79,133.0163366104869,4191,139,4193,COMPLETE_PERIOD,4026,305,0.07575757575757576,492287.30,75958.49,0.1542970740866157,,,,,0.03315048891008824,0.9668495110899118
2017-09-01,2017-09-01,2017-09-30,30,4285,621415.91,147.0110977052283,4154,216,4150,COMPLETE_PERIOD,4331,-46,-0.010621103671207574,568245.79,53170.12,0.09356887624279628,,,,,0.052048192771084335,0.9479518072289157
2017-10-01,2017-10-01,2017-10-31,31,4631,660179.62,145.19015174840555,4481,237,4478,COMPLETE_PERIOD,4285,346,0.0807467911318553,621415.91,38763.71,0.06237965487558887,,,,,0.05292541313086199,0.947074586869138
2017-11-01,2017-11-01,2017-11-30,30,7544,1003862.14,135.2731626465436,7313,1043,7288,COMPLETE_PERIOD,4631,2913,0.6290218095443748,660179.62,343682.52,0.5205894117119217,,,,,0.1431119648737651,0.8568880351262349
2017-12-01,2017-12-01,2017-12-31,31,5673,742183.79,132.10818618725526,5551,462,5513,COMPLETE_PERIOD,7544,-1871,-0.2480116648992577,1003862.14,-261678.35,-0.26067159978759635,,,,,0.08380192272809722,0.9161980772719027
2018-01-01,2018-01-01,2018-01-31,31,7269,945456.29,131.55089606233477,7088,464,7069,COMPLETE_PERIOD,5673,1596,0.281332628239027,742183.79,203272.50,0.2738843164440441,,,,,0.06563870420144292,0.9343612957985571
2018-02-01,2018-02-01,2018-02-28,28,6728,837895.43,126.49387530193238,6468,1048,6555,COMPLETE_PERIOD,7269,-541,-0.07442564314211034,945456.29,-107560.86,-0.11376608431046559,1780,2.7797752808988765,244959.35,2.4205488788241802,0.15987795575896263,0.8401220442410373
